#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:208110-208949|+   -            280 18543                -            519   2.8e-21   72.9   0.2   1   1   8.5e-23   3.2e-21   72.7   0.2    21   230    22   228     2   272 0.81 contig_2_pilon_191 # 208110 # 208949 # 1 # ID=5_191;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.413
contig_2_pilon:1020812-1021921|- -            370 18543                -            519   3.2e-21   72.7   0.3   1   2   2.6e-16     1e-14   51.3   0.0     8   169     5   162     1   162 0.85 contig_2_pilon_982 # 1020812 # 1021921 # -1 # ID=5_982;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
contig_2_pilon:1020812-1021921|- -            370 18543                -            519   3.2e-21   72.7   0.3   2   2   4.8e-09   1.8e-07   27.3   0.0   401   502   133   235   126   242 0.85 contig_2_pilon_982 # 1020812 # 1021921 # -1 # ID=5_982;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
contig_2_pilon:247709-248464|+   -            252 18543                -            519     4e-21   72.4   5.1   1   1   1.2e-22   4.7e-21   72.2   5.1     7   234     2   228     1   238 0.89 contig_2_pilon_224 # 247709 # 248464 # 1 # ID=5_224;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
contig_2_pilon:44118-45860|-     -            581 18543                -            519   4.2e-21   72.4   0.3   1   1   1.6e-22     6e-21   71.8   0.3     5   223   328   545   325   556 0.87 contig_2_pilon_40 # 44118 # 45860 # -1 # ID=5_40;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.336
contig_2_pilon:1046096-1046758|- -            221 18543                -            519   8.5e-21   71.3   0.3   1   1   2.7e-22     1e-20   71.1   0.3    24   210    21   205    15   219 0.88 contig_2_pilon_1003 # 1046096 # 1046758 # -1 # ID=5_1003;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.380
contig_2_pilon:567143-567889|+   -            249 18543                -            519   2.1e-20   70.0   0.3   1   1   6.4e-22   2.4e-20   69.8   0.3     7   229     6   224     1   242 0.86 contig_2_pilon_529 # 567143 # 567889 # 1 # ID=5_529;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
contig_1_pilon:625234-627120|+   -            629 18543                -            519   2.5e-20   69.8   0.1   1   4   4.5e-05    0.0017   14.2   0.0     8    56     6    54     3   113 0.83 contig_1_pilon_588 # 625234 # 627120 # 1 # ID=1_588;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
contig_1_pilon:625234-627120|+   -            629 18543                -            519   2.5e-20   69.8   0.1   2   4     4e-07   1.5e-05   21.0   0.0   400   460   158   215   115   245 0.77 contig_1_pilon_588 # 625234 # 627120 # 1 # ID=1_588;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
contig_1_pilon:625234-627120|+   -            629 18543                -            519   2.5e-20   69.8   0.1   3   4   3.1e-07   1.2e-05   21.4   0.1    10    74   326   389   318   397 0.76 contig_1_pilon_588 # 625234 # 627120 # 1 # ID=1_588;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
